Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
yys,Art & Design,"August 6, 2020",9.5M,"500,000+",1.7.4,4.1 and up,yys,https://policies.google.com/privacy
Visual Blasters LLC,Art & Design,"July 14, 2020",33M,"10,000,000+",2.4.7,4.4 and up,In-App Purchases,http://www.visualblasters.com/flipaclip-privacy-policy.html
Infinite Studio Mobile,Art & Design,"September 25, 2019",Varies with device,"5,000,000+",Varies with device,Varies with device,"Users Interact, Digital Purchases",http://www.infinitestudio.art/design/privacy_policy.html
True Fun Apps,Art & Design,"March 29, 2020",12M,"1,000,000+",2.4,4.1 and up,True Fun Apps,https://policies.google.com/privacy
True Fun Apps,Art & Design,"May 11, 2020",23M,"5,000,000+",3.0,4.1 and up,True Fun Apps,http://diy-app.ru/truefunapps/privacy-policy.pdf
Evil Ink❤️Tattoo Design Apps and Calligraphy fonts,Art & Design,"August 13, 2020",107M,"100,000+",121,7.0 and up,Evil Ink❤️Tattoo Design Apps and Calligraphy fonts,https://evil-ink.site/privacypolicytattoofontdesigner.html
King,Casual,"August 12, 2020",Varies with device,"1,000,000,000+",1.183.0.3,4.1 and up,"Users Interact, Shares Info, Digital Purchases",https://king.com/privacyPolicy
Supercell,Casual,"July 27, 2020",127M,"100,000,000+",1_47_97,4.1 and up,"Users Interact, Digital Purchases",http://www.supercell.net/privacy-policy/
Turbo Rocket Games,Simulation,"August 9, 2020",14M,"10,000,000+",Varies with device,4.1 and up,"Users Interact, Digital Purchases",http://turborocketgames.com/extra/privacypolicy.htm
Bubadu,Casual,"June 17, 2020",46M,"10,000,000+",1.23,4.1 and up,Digital Purchases,https://bubadu.com/privacy-policy.shtml
Area730 Entertainment,Role Playing,"July 15, 2020",58M,"1,000,000+",1.4,4.1 and up,Digital Purchases,http://area730-labs.com/policy/privacypolicy.htm
Coco Play By TabTale,Casual,"July 13, 2020",48M,"10,000,000+",1.1.20,4.4 and up,In-Game Purchases,https://tabtale.com/privacy-policy/
My Town Games Ltd,Educational,"August 4, 2020",52M,"1,000,000+",1.04,4.4 and up,In-Game Purchases,https://my-town.com/privacy-policy/
